misspecified,design,accuracy,stratified,n_scenarios,mean_patients,sd_across_scenarios,ci_lo,ci_hi,censored_frac,gap
True,SEEDA Plateau (fixed),0.6,True,27,309.44444444444446,171.7003949937962,243.4388888888889,370.77777777777777,0.5185185185185185,0.0
True,SEEDA Plateau (fixed),0.7,True,27,340.22222222222223,161.33251218269515,280.875,397.13055555555553,0.7037037037037037,0.0
True,SEEDA Plateau (fixed),0.8,True,27,366.77777777777777,153.8204081021694,305.65555555555557,418.45,0.7407407407407407,0.0
True,SEEDA Plateau (fixed),0.9,True,27,376.77777777777777,142.6165739999639,324.2166666666667,427.55833333333334,0.7407407407407407,0.0
False,UCB,0.0,True,40,21.0,0.0,21.0,21.0,0.0,0.0
False,UCB,0.1,True,40,24.45,1.600480697021511,24.0,24.9,0.0,0.0
False,UCB,0.2,True,40,28.5,3.5300904324873126,27.6,29.7,0.0,0.0
False,UCB,0.3,True,40,39.3,23.413999756884444,33.75,47.25375,0.0,0.0
False,UCB,0.4,True,40,59.7,51.773768231828335,45.75,78.3,0.025,0.0
False,UCB,0.5,True,40,114.0,120.57554287027506,80.09625,153.17624999999998,0.15,0.0
False,UCB,0.6,True,40,172.95,144.1194216346558,131.09437499999999,216.91687499999998,0.225,0.0
False,UCB,0.7,True,40,244.275,168.73450356197955,191.99625,296.505,0.4,0.0
False,UCB,0.8,True,40,307.35,160.08404042876978,256.71562500000005,355.5,0.525,0.0
False,UCB,0.9,True,40,377.325,131.86791905889422,337.453125,413.926875,0.8,0.0
False,SEEDA,0.0,True,40,21.0,0.0,21.0,21.0,0.0,0.0
False,SEEDA,0.1,True,40,24.0,0.0,24.0,24.0,0.0,0.0
False,SEEDA,0.2,True,40,27.0,0.0,27.0,27.0,0.0,0.0
False,SEEDA,0.3,True,40,30.45,2.099450477551758,30.0,31.2,0.0,0.0
False,SEEDA,0.4,True,40,48.45,62.05537229579105,33.9,69.75,0.05,0.0
False,SEEDA,0.5,True,40,72.6,94.96363676530247,46.49625,102.91874999999999,0.1,0.0
False,SEEDA,0.6,True,40,101.925,119.55588490486203,69.59625,138.46124999999998,0.1,0.0
False,SEEDA,0.7,True,40,130.8,137.52057188765502,92.611875,174.98624999999998,0.15,0.0
False,SEEDA,0.8,True,40,186.15,157.02172804081312,142.275,234.613125,0.25,0.0
False,SEEDA,0.9,True,40,252.975,184.39804875490245,197.16750000000002,308.851875,0.45,0.0
False,SEEDA Plateau,0.0,True,40,21.0,0.0,21.0,21.0,0.0,0.0
False,SEEDA Plateau,0.1,True,40,133.35,154.1457102873771,86.37750000000001,185.70374999999999,0.2,0.0
False,SEEDA Plateau,0.2,True,40,207.6,177.30833639128804,154.254375,261.080625,0.325,0.0
False,SEEDA Plateau,0.3,True,40,245.175,180.34708523801032,193.760625,295.201875,0.375,0.0
False,SEEDA Plateau,0.4,True,40,275.775,178.848093041596,221.75625,330.380625,0.475,0.0
False,SEEDA Plateau,0.5,True,40,307.875,176.37986214199955,253.873125,361.126875,0.575,0.0
False,SEEDA Plateau,0.6,True,40,335.325,166.26783883472243,285.13874999999996,384.98625,0.65,0.0
False,SEEDA Plateau,0.7,True,40,358.05,156.3657694195051,309.898125,403.28625,0.7,0.0
False,SEEDA Plateau,0.8,True,40,391.425,125.88820589958132,349.34250000000003,425.705625,0.825,0.0
False,SEEDA Plateau,0.9,True,40,437.55,79.83507037347974,411.298125,458.775,0.925,0.0
False,SEEDA Plateau (ours),0.0,True,40,21.0,0.0,21.0,21.0,0.0,0.0
False,SEEDA Plateau (ours),0.1,True,40,76.05,101.73619732501233,49.4925,107.57249999999998,0.1,0.0
False,SEEDA Plateau (ours),0.2,True,40,150.3,164.33755130593485,105.12562500000001,201.23624999999998,0.275,0.0
False,SEEDA Plateau (ours),0.3,True,40,194.775,181.70269990797098,141.508125,254.325,0.375,0.0
False,SEEDA Plateau (ours),0.4,True,40,245.175,196.88261340590353,184.49625,304.385625,0.475,0.0
False,SEEDA Plateau (ours),0.5,True,40,274.575,191.84487423236192,216.808125,328.951875,0.525,0.0
False,SEEDA Plateau (ours),0.6,True,40,294.75,187.99028207289373,231.283125,350.2575,0.55,0.0
False,SEEDA Plateau (ours),0.7,True,40,311.775,176.05993843880816,256.71375,366.763125,0.6,0.0
False,SEEDA Plateau (ours),0.8,True,40,339.675,163.8096749749068,291.811875,393.301875,0.625,0.0
False,SEEDA Plateau (ours),0.9,True,40,378.15,139.53320531190911,334.0425,416.1,0.725,0.0
False,SEEDA Plateau (fixed),0.0,True,40,21.0,0.0,21.0,21.0,0.0,0.0
False,SEEDA Plateau (fixed),0.1,True,40,113.55,129.94475157365326,76.94625,157.3575,0.15,0.0
False,SEEDA Plateau (fixed),0.2,True,40,189.825,169.46066596025258,141.58875,243.98062499999997,0.3,0.0
False,SEEDA Plateau (fixed),0.3,True,40,228.975,176.29309620410768,174.71625,279.380625,0.325,0.0
False,SEEDA Plateau (fixed),0.4,True,40,256.425,176.3645536076645,203.98875,311.645625,0.425,0.0
False,SEEDA Plateau (fixed),0.5,True,40,286.2,180.3276505100134,232.929375,340.65,0.5,0.0
False,SEEDA Plateau (fixed),0.6,True,40,302.7,176.77077725774612,252.07312499999998,353.938125,0.525,0.0
False,SEEDA Plateau (fixed),0.7,True,40,317.7,168.43323260613934,268.86,369.080625,0.55,0.0
False,SEEDA Plateau (fixed),0.8,True,40,337.275,160.96232836861597,284.390625,384.15937499999995,0.6,0.0
False,SEEDA Plateau (fixed),0.9,True,40,356.7,147.81610196456947,309.45,403.430625,0.675,0.0
True,UCB,0.0,True,40,21.0,0.0,21.0,21.0,0.0,1.0
True,UCB,0.1,True,40,72.3,131.5092275206456,36.3,112.20375,0.125,1.0
True,UCB,0.2,True,40,107.55,157.21061326474407,63.290625,160.33687499999994,0.2,1.0
True,UCB,0.3,True,40,153.15,172.5094646232936,100.34062499999999,207.98062499999997,0.325,1.0
True,UCB,0.4,True,40,213.375,185.69477126974544,158.31375,272.19,0.475,1.0
True,UCB,0.5,True,40,298.35,172.00172181606877,244.305,351.375,0.675,1.0
True,UCB,0.6,True,40,362.55,156.4528191353055,312.148125,407.93625,0.75,1.0
True,UCB,0.7,True,40,405.075,115.19112045105399,367.033125,435.16125,0.875,1.0
True,UCB,0.8,True,40,429.375,90.79695225315406,397.04062500000003,453.076875,0.9,1.0
True,UCB,0.9,True,40,445.95,47.158733590355816,429.285,458.326875,0.925,1.0
True,SEEDA,0.0,True,40,21.0,0.0,21.0,21.0,0.0,1.0
True,SEEDA,0.1,True,40,110.55,174.92796319540312,67.2,164.55,0.2,1.0
True,SEEDA,0.2,True,40,121.2,172.79529908135635,71.248125,174.525,0.25,1.0
True,SEEDA,0.3,True,40,152.7,184.80734251147558,97.17750000000001,208.95749999999998,0.3,1.0
True,SEEDA,0.4,True,40,204.225,197.55356138370328,144.148125,268.59187499999996,0.45,1.0
True,SEEDA,0.5,True,40,260.325,190.80697556189324,200.90625,320.476875,0.575,1.0
True,SEEDA,0.6,True,40,333.525,184.2183748038849,274.6275,387.08437499999997,0.7,1.0
True,SEEDA,0.7,True,40,365.25,162.4065411717909,311.911875,412.201875,0.775,1.0
True,SEEDA,0.8,True,40,389.625,140.05853858572576,344.544375,430.65375,0.8,1.0
True,SEEDA,0.9,True,40,404.1,118.91082631697005,361.34812500000004,434.484375,0.8,1.0
True,SEEDA Plateau,0.0,True,40,21.0,0.0,21.0,21.0,0.0,1.0
True,SEEDA Plateau,0.1,True,40,198.45,198.25572064692298,138.1425,261.30375,0.4,1.0
