design,comparison,true_gap,cohort,ratio_mean,ci_lo,ci_hi
MATLAB,Doses 1–2,0.24999999999999997,51,0.8434503465702913,0.8257045252796045,0.8617549553767511
MATLAB,Doses 1–2,0.24999999999999997,52,0.8418240761429717,0.8237224597973528,0.8604052176465943
MATLAB,Doses 1–2,0.24999999999999997,53,0.8402166141961206,0.8222210297080056,0.8588334921151438
MATLAB,Doses 1–2,0.24999999999999997,54,0.8390012730585167,0.8207728471070909,0.8576298342888039
MATLAB,Doses 1–2,0.24999999999999997,55,0.837409591202421,0.8192888720681656,0.8560768715968617
MATLAB,Doses 1–2,0.24999999999999997,56,0.8360206971654693,0.8177910764987799,0.8545425981819156
MATLAB,Doses 1–2,0.24999999999999997,57,0.834659994105339,0.8163788648541327,0.8534713914794674
MATLAB,Doses 1–2,0.24999999999999997,58,0.8332144028443537,0.8151374036782435,0.8523720996543411
MATLAB,Doses 1–2,0.24999999999999997,59,0.8317043878959004,0.8136689250183919,0.8511367485713366
MATLAB,Doses 1–2,0.24999999999999997,60,0.8306893855914507,0.8126500489139011,0.8499164762720292
MATLAB,Doses 1–2,0.24999999999999997,61,0.829399600703423,0.8111750120585897,0.8489418939118932
MATLAB,Doses 1–2,0.24999999999999997,62,0.8280735419099919,0.8097323886963729,0.847705351441766
MATLAB,Doses 1–2,0.24999999999999997,63,0.8269290245445828,0.8086770440188792,0.8464345982433981
MATLAB,Doses 1–2,0.24999999999999997,64,0.8258781342233499,0.8075614248870419,0.8456684756268184
MATLAB,Doses 1–2,0.24999999999999997,65,0.8247552442974592,0.8064600086613306,0.8444908682172146
MATLAB,Doses 1–2,0.24999999999999997,66,0.8233791112005973,0.8048233437461861,0.843216164325875
MATLAB,Doses 1–2,0.24999999999999997,67,0.8222214100102099,0.8035738788042183,0.841991196028445
MATLAB,Doses 1–2,0.24999999999999997,68,0.8212492226217026,0.8024226644041409,0.8414001416807452
MATLAB,Doses 1–2,0.24999999999999997,69,0.8203183458447127,0.8014693383289393,0.8406321323406754
MATLAB,Doses 1–2,0.24999999999999997,70,0.8195379605914307,0.8005683156495577,0.8400324194346762
MATLAB,Doses 1–2,0.24999999999999997,71,0.8186584540330613,0.7996650045844435,0.838994277632009
MATLAB,Doses 1–2,0.24999999999999997,72,0.8178777786317091,0.7984611474582209,0.838309156332756
MATLAB,Doses 1–2,0.24999999999999997,73,0.8167049427386058,0.797392214914827,0.8369193080219773
MATLAB,Doses 1–2,0.24999999999999997,74,0.815741331613352,0.7963191807824523,0.8359834011985846
MATLAB,Doses 1–2,0.24999999999999997,75,0.8143722963484391,0.794902011655969,0.8347938531218199
MATLAB,Doses 1–2,0.24999999999999997,76,0.813584054786252,0.7941314260493878,0.8341582391253842
MATLAB,Doses 1–2,0.24999999999999997,77,0.8126065569114298,0.7926489678221285,0.8333222083903922
MATLAB,Doses 1–2,0.24999999999999997,78,0.8116216664022644,0.7915870026047219,0.8322281265683444
MATLAB,Doses 1–2,0.24999999999999997,79,0.8108595517308841,0.7908174409448181,0.8312524864476696
MATLAB,Doses 1–2,0.24999999999999997,80,0.8099919900091747,0.789854765210433,0.8303436024126577
